,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
140,2017-11-04,00:38:35,whizwhit,"@united 7:37 a few pieces of broken plastic later, the bin is fixed!",-0.5255,0.0,0.0,0.0,1.0,pieces broken plastic later bin fixed,,0
143,2017-11-04,00:35:43,whizwhit,A @united delay story:6:40 broken overhead bin duct taped together,-0.6597,0.0,0.0,0.0,1.0,delay story640 broken overhead bin duct taped together,,0
146,2017-11-04,00:33:40,matheusaleex,"@united It's so sad to see the 747 stop flying... But times change, and we say good bye for the queen of the air ",-0.5092,0.0,0.0,0.0,1.0,sad see stop flying times change say good bye queen air,,4
147,2017-11-04,00:33:12,SawanSD,@united She arrived at 8am and was supposed to make a 9am flight. It’s now 530pm and she’s still sitting there. What the hell is going on?,-0.6808,0.0,0.0,0.0,1.0,arrived supposed make flight she is still sitting hell going,,0
149,2017-11-04,00:32:59,CGal__oS,Alright last tweet on this madness but @united at least give me the option to pay to upgrade. Srsly what is this shit,-0.8467,0.0,0.0,0.0,1.0,alright last tweet madness least give option pay upgrade srsly shit,,1
151,2017-11-04,00:31:55,SawanSD,@united Can’t believe your horrible service. My visually impaired grandma who needs wheelchair assistance is stuck at SFO,-0.6705,0.0,0.0,0.0,1.0,can not believe horrible service visually impaired grandma needs wheelchair assistance stuck sfo,,3
160,2017-11-04,00:25:12,CGal__oS,@united is the WORST. 3hrs early for flight but basic economy means not eligible for standby or seat selection and have to PAY for CARRYON.,-0.6824,0.0,0.0,0.0,1.0,worst early flight basic economy means eligible standby seat selection pay carry on,,2
163,2017-11-04,00:18:33,v1talyg,"@united Have been taxiing for 30+ minutes, you’d think there’d be an update. Nope, we’re flying shit @united.",-0.5574,0.0,0.0,0.0,1.0,taxiing minutes you would think thered update nope flying shit,,1
170,2017-11-04,00:15:03,coolypop1,Can't believe its been 2 days and still no response from @united about terrible flight with no food for international flight to purchase!!!!,-0.8257,0.0,0.0,0.0,1.0,can not believe days still response terrible flight food international flight purchase,,3
174,2017-11-04,00:08:51,v1talyg,"Each time I make the exception and fly @United, I live to regret it. Every. Single. Time. Shittiest airline ever.",-0.802,0.0,0.0,0.0,1.0,time make exception fly live regret every single time shittiest airline ever,,1
187,2017-11-03,23:59:10,holgermu,MyPOV -  Whats wrong with @United Polaris - #5 - No way back to movie overview from movie details. UX failure.,-0.8225,0.0,0.0,0.0,1.0,mypov what is wrong polaris #5 way back movie overview movie details ux failure,['#5'],2
189,2017-11-03,23:57:48,holgermu,MyPOV -  Whats wrong with @United Polaris - #4 - Most un-intuitive chair controls in the business. Back is front and front is back.,-0.4767,0.0,0.0,0.0,1.0,mypov what is wrong polaris #4 unintuitive chair controls business back front front back,['#4'],2
190,2017-11-03,23:56:34,holgermu,MyPOV -  Whats wrong with @United Polaris - #3 - Too uneven lie flat area. Hard vs soft in wrong places.,-0.765,0.0,0.0,0.0,1.0,mypov what is wrong polaris #3 uneven lie flat area hard vs soft wrong places,['#3'],2
194,2017-11-03,23:56:06,holgermu,MyPOV -  Whats wrong with @United Polaris - #1 - behind the seat charging area is a back / neck injury in making. Wrong place.,-0.8402,0.0,0.0,0.0,1.0,mypov what is wrong polaris #1 behind seat charging area back neck injury making wrong place,['#1'],2
195,2017-11-03,23:54:51,holgermu,MyPOV -  Whats wrong with @United Polaris - #1 - Windows seats have cramped foot room.,-0.4767,0.0,0.0,0.0,1.0,mypov what is wrong polaris #1 windows seats cranded foot room,['#1'],2
199,2017-11-03,23:49:46,ZomgJake,@xoxoashleyadams @united At least they didn't beat you and lose your luggage ,-0.4019,0.0,0.0,0.0,1.0,least did not beat lose luggage,,2
202,2017-11-03,23:46:28,oGkazaM,From this day forward I’m never flying any airline beside @delta or @united I’m stuck in Seattle cause my connectinflight LEFT! During delay,-0.5562,0.0,1.0,0.0,1.0,day forward i am never flying airline beside i am stuck seattle because connectinflight left delay,,4
205,2017-11-03,23:45:05,oGkazaM,Sorry Just fucking sorry every airline should just sell themselves to @Delta or @united stuck in Seattle and they are the only one that’s ,-0.4391,0.0,1.0,0.0,1.0,sorry fucking sorry every airline sell stuck seattle one thats,,1
217,2017-11-03,23:40:01,_hannahangel,@morganascookies @united That’s not ok!!!!! They better find it!!!!!!!,-0.5535,0.0,0.0,0.0,1.0,thats ok better find,,1
219,2017-11-03,23:39:46,RomanEmpire421,@United why are your flights ALWAYS delayed leaving Chicago?? My flight is now over 4 hours delayed!!!,-0.6169,0.0,0.0,0.0,1.0,flights always delayed leaving chicago flight hours delayed,,0
221,2017-11-03,23:39:31,Morb1dlyObtuse,@united As stated: that means that the experience is inconsistent and requires customers to intuit the policy potentially causing them to waste time,-0.4215,0.0,0.0,0.0,1.0,stated means experience inconsistent requires customers intuit policy potentially causing waste time,,1
222,2017-11-03,23:38:00,vandekieftg,"@ChadDKollas @united Back at you. I still get home tonight, albeit at 01:00; the rest is 1st world problems (eg, lost my upgrade on the cancelled flight - Sad!).",-0.7424,0.0,0.0,0.0,1.0,back still get home tonight albeit rest world problems eg lost upgrade cancelled flight sad,,2
224,2017-11-03,23:36:41,vincenzolandino,@aaronscjohnson @holgermu @united @AmericanAir @SouthwestAir Never have. Wouldn't even know what to expect. I'm scared.,-0.4404,1.0,0.0,1.0,1.0,never would not even know expect i am scared,,1
232,2017-11-03,23:29:52,greenwonk,@united why can't your pilots communicate with pax? Pulling away from a gate and then just sitting there is v frustrating UA6344 MSP-IAD,-0.4404,0.0,0.0,0.0,1.0,can not pilots communicate pax pulling away gate sitting frustrating ua6344 mspiad,,2
239,2017-11-03,23:24:07,JessTheBossW,@united is the worst,-0.6249,0.0,0.0,0.0,1.0,worst,,4
240,2017-11-03,23:23:41,aaron_osher,"@United UA14 from EWR to LHR ""The tug towing the plane broke down"" I CALL #BULLSHIT #Airplanes #TravelProblems #NewYork #Airport #KEWR #EWR",-0.4215,0.0,0.0,0.0,1.0,ua14 ewr 1 hour tug towing plane broke call #bullshit #airplanes #travelproblems #newyork #airport #kewr #ewr,"['#bullshit', '#airplanes', '#travelproblems', '#newyork', '#airport', '#kewr', '#ewr']",0
241,2017-11-03,23:20:48,arhame,@united #unitedairways sucks every time I give them a chance FAIL now blaming on weather. Can’t help to laugh at failing airlines.,-0.7125,0.0,0.0,0.0,1.0,#unitedairways sucks every time give chance fail blaming weather can not help laugh failing airlines,['#unitedairways'],1
245,2017-11-03,23:19:23,arhame,@united #Unitedairsucks lies Delayed 3hr b/c flight crew not here for 5:10 flight they say crew by 8pm missed meeting missed opportunity,-0.6486,0.0,0.0,0.0,1.0,#unitedairsucks lies delayed bc flight crew flight say crew missed meeting missed opportunity,['#unitedairsucks'],0
251,2017-11-03,23:15:39,mallory_abuzeni,Um @united how’s it possible that I get no compensation for having to stay the night in another city after you had a non-weather delay??,-0.594,0.0,0.0,0.0,1.0,um how is possible get compensation stay night another city nonweather delay,,0
265,2017-11-03,23:05:26,paul_chard63,@Lufthansa_USA @united and your also culpable in this complete &amp; utter fiasco,-0.5106,0.0,0.0,0.0,1.0,also culpable complete and utter fiasco,,2
266,2017-11-03,23:04:06,JoseCortesJr,"@united 1/2 selling my wife assigned aisle seat, placing her in a middle seat 3 rows behind, &amp; separating our family with children is wrong",-0.4767,0.0,0.0,0.0,1.0,selling wife assigned aisle seat placing middle seat rows behind and separating family children wrong,,2
271,2017-11-03,22:58:42,holgermu,"@united Done tx. The problem is that admin burdens @United are even costing you more. Not just unhappy passengers, bad business for UA shareholders.",-0.8505,0.0,0.0,0.0,1.0,done tx problem admin burdens even costing unhappy passengers bad business ua shareholders,,4
272,2017-11-03,22:57:41,Lapoint72,I will never understand how a airline can board people on a plane then say it’s delayed 2hrs for aircraft maintenance. Fuck you @united,-0.6597,0.0,0.0,0.0,1.0,never understand airline board people plane say delayed aircraft maintenance fuck,,4
285,2017-11-03,22:50:48,holgermu,"MyPOV - @United is soo broken: Gate says go to Club, Club says go to Hotline, Twitter says go to Hotline.. 1 hour burnt. Not making it home.",-0.4767,0.0,0.0,0.0,1.0,mypov soo broken gate says go club club says go hotline twitter says go hotline hour burnt making home,,0
291,2017-11-03,22:43:59,___Q__,@SoCalValerie @united Flat out unacceptable.,-0.4588,0.0,0.0,0.0,1.0,flat unacceptable,,0
299,2017-11-03,22:36:28,AndreaEggs925,"On a @united flight and next thing I hear is the flight attendant tell a passenger struggling with their suitcase ""You pack it, you rack it""",-0.4215,0.0,0.0,0.0,1.0,flight next thing hear flight attendant tell passenger struggling suitcase pack rack,,2
301,2017-11-03,22:33:56,WhoDatInSanFran,"@united ""policy"" isn't word. U get ppl to pay more than they have to then no refund when they don't get benefit. Word is theft. Will deal w Shuster.",-0.6224,0.0,0.0,0.0,1.0,policy is not word get ppl pay refund do not get benefit word theft deal shuster,,2
308,2017-11-03,22:28:16,mallory_abuzeni,The first time I have to fly @united in months and what do you know? Delayed for no reason  and have already missed connection home tonight,-0.6486,0.0,0.0,0.0,1.0,first time fly months know delayed reason already missed connection home tonight,,0
313,2017-11-03,22:24:11,bmcvrkel,3- @united your customer service is unacceptable. I have yet to talk to anyone directly connected to the airline. Only call center peeps,-0.4588,0.0,0.0,0.0,1.0,customer service unacceptable yet talk anyone directly connected airline call center peeps,,3
318,2017-11-03,22:20:43,ryanlowe34,@HaleyLowee @united They suck,-0.4404,0.0,0.0,0.0,1.0,suck,,4
319,2017-11-03,22:20:35,Memgrizzbear,"@united UA6231 overshot the runway, flight diverted now, tell pilot stop blaming it on the weather #pilotfail",-0.6597,0.0,0.0,0.0,1.0,ua6231 overshot runway flight diverted tell pilot stop blaming weather #pilotfail,['#pilotfail'],0
320,2017-11-03,22:20:26,bmcvrkel,"5 days since @united lost my luggage. Melbourne to LAX to IAD. 1 bag found in Newark. 1 bag still missing. No new info, no update. #fixthis",-0.7845,0.0,0.0,0.0,1.0,days since lost luggage melbourne lax iad bag found newark bag still missing new info update #fixthis,['#fixthis'],2
334,2017-11-03,22:11:34,holgermu,MyPOV -  Here is what's wrong with @United. «I can't help you - I can only help GSses.»  How about: Let me know someone to help you?!,-0.8468,0.0,0.0,0.0,1.0,mypov what is wrong «i can not help help gsses» let know someone help,,2
336,2017-11-03,22:10:58,janinerivas,#UA659 #UnitedAirlines @united to the woman in 11d you should drive. You clearly do not belong on an aircraft. Your Poor kids :-(,-0.4404,0.0,0.0,0.0,1.0,#ua659 #unitedairlines woman drive clearly belong aircraft poor kids,"['#ua659', '#unitedairlines']",2
338,2017-11-03,22:10:21,BDub161,"@united Then we're going to fly to the dirty Jerz.... And circle Newark for another hour, miss all of our flights and be on the hook for hotels.",-0.5423,0.0,0.0,0.0,1.0,going fly dirty jerz circle newark another hour miss flights hook hotels,,0
349,2017-11-03,21:58:22,insaafmoh,really should not have trusted @united. paid 90 dollars for ticket and I have to change it for $260...literally does that even make sense???,-0.4756,0.0,0.0,0.0,1.0,really trusted paid dollars ticket change even make sense,,2
358,2017-11-03,21:48:46,sonny_lebowitz,@united - you have BY FAR the worst customer service that I️ have ever dealt with - it is so painful to speak to your India call center,-0.8334,0.0,0.0,0.0,1.0,far worst customer service i️ ever dea painful speak india call center,,3
365,2017-11-03,21:44:11,Djtechlive,So @united boards all of us on a plane to tell us it’s freaking BROKEN AND  they MAY be able to find a part for a fix.... like wth?,-0.8192,0.0,0.0,0.0,1.0,boards us plane tell us freaking broken may able find part fix like wth,,4
375,2017-11-03,21:40:19,_ktnicole,@airfarewatchdog @united @tffny_nicolle @_vcarissa wtf man,-0.5859,0.0,0.0,0.0,1.0,wtf man,,2
376,2017-11-03,21:40:16,dalytics,first time using @united wifi. Signal dropped as frequently as strikers in the penalty zone,-0.5574,0.0,0.0,0.0,1.0,first time using wifi signal dropped frequently strikers penay zone,,1
377,2017-11-03,21:39:37,SanchezMoses,Completely disappointed in @united as it's day 2 without luggage for my parents.#CustomerExperience#CustomerService#UnitedAirlines,-0.5256,0.0,0.0,0.0,1.0,completely disappointed day without luggage parents#customerexperience#customerservice#unitedairlines,['#customerexperience#customerservice#unitedairlines'],2
381,2017-11-03,21:34:39,levifox05,@united I am crying right now ,-0.4767,0.0,0.0,0.0,1.0,crying right,,4
383,2017-11-03,21:33:40,SamChipperfield,@united it will be a sad day,-0.4767,0.0,0.0,0.0,1.0,sad day,,4
385,2017-11-03,21:30:47,lukescholefield,Unfortunately @United swapped out my 787-8 for a -9. My @SeatGuru efforts are wasted and now I have the seat without a window. Ugh.,-0.5053,0.0,0.0,0.0,1.0,unfortunately swapped efforts wasted seat without window ugh,,2
386,2017-11-03,21:27:38,NIskrenova,@united is quite possibly the worst airline.,-0.6557,0.0,0.0,0.0,1.0,quite possibly worst airline,,4
387,2017-11-03,21:25:15,DaveLaFontaine,3 days after Halloween @united sends me marketing mail w Xmas wreath &amp; “It’s never too early” YES. YES IT TOTALLY IS #commercialism #amok,-0.6809,0.0,0.0,0.0,1.0,days halloween sends marketing mail xmas wreath and never early yes yes totally #commercialism #amok,"['#commercialism', '#amok']",2
407,2017-11-03,21:07:18,ryanlowe34,I will never fly @united again the check in experience was the worst of any airline I've ever flown,-0.6249,0.0,0.0,0.0,1.0,never fly check experience worst airline i have ever flown,,4
408,2017-11-03,21:07:03,Obidecoque,United is the worst wit delayed flights. Never fails @united,-0.7184,0.0,0.0,0.0,1.0,united worst wit delayed flights never fails,,0
411,2017-11-03,20:54:53,Mak4963,@united pathetic. I’m trying to contact y’all as a premier Gold on a delayed flight. Can’t even message me back,-0.6808,0.0,0.0,0.0,1.0,pathetic i am trying contact you all premier gold delayed flight can not even message back,,0
425,2017-11-03,20:40:31,MonsieurRicardo,"@united No, they refused. I had to book a whole new ticket which costs $108.",-0.5267,0.0,0.0,0.0,1.0,refused book whole new ticket costs,,2
434,2017-11-03,20:29:37,WhitPenn,@united What's up w/ your service from SYR to EWR? Consistently awful. My 3:10pm flight is 3+ hours delayed. It's an hour long flight!,-0.636,0.0,0.0,0.0,1.0,what is service syr ewr consistently awful flight hours delayed hour long flight,,0
435,2017-11-03,20:28:19,tunastinkers,Mawfckin @united taxing hard af for WiFi crAzZy6 so i opted to get 2 yak&amp;cokes then got drunk and got WiFi anyway. Fml. Whatttupp thooooo,-0.4215,0.0,0.0,0.0,1.0,mawfckin taxing hard af wifi crazzy6 opted get yakandcokes got drunk got wifi anyway fml whatttupp thooooo,,2
445,2017-11-03,19:58:53,saraleshea,first time flying in to SFO since @united started retiring their 747s. not one to be seen. i feel sick.  #lastdays,-0.5106,0.0,0.0,0.0,1.0,first time flying sfo since started retiring one seen feel sick #lastdays,['#lastdays'],1
450,2017-11-03,19:47:43,Leanyvette,"@united hi i ordered tickets to NYC but i wrote My birthdate wrong, is it possible to fix it?",-0.631,0.0,0.0,0.0,1.0,hi ordered tickets nyc wrote birthdate wrong possible fix,,2
456,2017-11-03,19:39:04,TheCurtCollins,My first time flying @united and we r delayed and then delayed again come on,-0.4215,0.0,0.0,0.0,1.0,first time flying delayed delayed come,,0
457,2017-11-03,19:34:57,OMZS187,@united how much $ &amp; or problem is it to change flight from one day to the next,-0.4019,0.0,0.0,0.0,1.0,much and problem change flight one day next,,2
462,2017-11-03,19:31:06,JordanYes2014,"Poor show @united, I arrived 2 hours early at @EWRairport to be told I've got a 3 hour delay... I've got places to be? Why 3 hours?",-0.5362,0.0,0.0,0.0,1.0,poor show arrived hours early told i have got hour delay i have got places hours,,0
463,2017-11-03,19:27:03,MitchWagner,.@United Airlines uses @Tibco to reduce flight delay pain - me on @ECloudNews,-0.6808,0.0,0.0,0.0,1.0,united airlines uses reduce flight delay pain,,0
467,2017-11-03,19:22:48,CharltonJ0N,@united hey homey! still dragging passengers and not getting fined for that horrendous shit?,-0.8268,0.0,0.0,0.0,1.0,hey homey still dragging passengers getting fined horrendous shit,,1
473,2017-11-03,19:12:04,xnmader,@united That’s some shady shit @united. It prays on the avg customer’s ignorance of his rights.,-0.5719,0.0,0.0,0.0,1.0,thats shady shit prays avg customers ignorance rights,,1
474,2017-11-03,19:11:57,J_M_Murad,@united there is no description to how shitty your airline is...,-0.7003,0.0,0.0,0.0,1.0,description shitty airline,,4
475,2017-11-03,19:11:02,xnmader,"@united Two weeks later, after being forced to email my complaint to customer service, @united calls to tell me that my claim is bunk bc I signed.",-0.6369,0.0,0.0,0.0,1.0,two weeks later forced email complaint customer service calls tell claim bunk bc signed,,3
476,2017-11-03,19:10:12,xnmader,@united I refused to sign the voucher until a @united gate manager lied to me and said it wouldn’t affect my claim.,-0.5859,0.0,0.0,0.0,1.0,refused sign voucher gate manager lied said would not affect claim,,2
478,2017-11-03,19:05:22,xnmader,When you get bumped from @united DO NOT SIGN THE VOUCHER for a new flight. @united will use that against your refund claim. What a scam.,-0.5719,0.0,0.0,0.0,1.0,get bumped sign voucher new flight use refund claim scam,,2
479,2017-11-03,19:01:33,NirajSheth1,@united No worries now I am fully aware of your horrible service and will find myself somewhere else to fly with. I would advice all to do same,-0.8176,0.0,0.0,0.0,1.0,worries fully aware horrible service find somewhere else fly would advice,,3
482,2017-11-03,18:59:45,ABCKaitlyn,"Hey @united, not cool when you don't allow your passengers to access credits from cancelled flights after you refuse to refund.",-0.5152,0.0,0.0,0.0,1.0,hey cool do not allow passengers access credits cancelled flights refuse refund,,2
486,2017-11-03,18:57:45,fromdasip,"@AmericanAir @united @Delta Also, deplane from the front and back on applicable planes. Work to change the policy. Hell anything is possible, look at our democracy!",-0.7088,1.0,1.0,0.0,1.0,also deplane front back applicable planes work change policy hell anything possible look democracy,,2
490,2017-11-03,18:53:54,NirajSheth1,Never flying @united in my life again! Economy customer means you can’t change to a earlier flight for emergency and zero service.,-0.4389,0.0,0.0,0.0,1.0,never flying life economy customer means can not change earlier flight emergency zero service,,3
498,2017-11-03,18:47:24,CaitieKeen,"@united I’m working on a formal complaint right now, never been so disrespected before. You need to bring back customer service.",-0.7241,0.0,0.0,0.0,1.0,i am working formal complaint right never disrespected need bring back customer service,,3
510,2017-11-03,18:36:06,812912,"@xoxoashleyadams @united No way, could your level of anger be measured?",-0.7096,0.0,0.0,0.0,1.0,way could level anger measured,,2
512,2017-11-03,18:35:00,matthewtuerk,"Running #nycmarathon on Sunday, then catching a 6:30 @united flight from @EWRairport. Timing doesn’t worry me, finding a shower does",-0.4404,0.0,0.0,0.0,1.0,running #nycmarathon sunday catching flight timing does not worry finding shower,['#nycmarathon'],1
514,2017-11-03,18:34:28,ojuice33056,@iflymia parking garage elevator dirtiest in 30 yrs! More resourses for maint. @AmericanAir @United @LATAMAirlinesUS,-0.5707,1.0,0.0,0.0,1.0,parking garage elevator dirtiest yrs resourses maint,,4
516,2017-11-03,18:32:23,rebecca_klasson,@United - Customer service FAIL - only answering when I tweet.  Still nothing done. Just want a receipt. Not so tough... #losingbiz,-0.6657,0.0,0.0,0.0,1.0,customer service fail answering tweet still nothing done want receipt tough #losingbiz,['#losingbiz'],3
517,2017-11-03,18:30:53,rebecca_klasson,"@United What is so hard about providing a receipt? Why is this taking 3wks, 5emails &amp; 2phone conversations?  Still no receipt? Service FAIL",-0.8334,0.0,0.0,0.0,1.0,hard providing receipt taking and conversations still receipt service fail,,3
519,2017-11-03,18:30:10,slipperyp,@united my wife+4yo daughter were delayed out of SEA today. Now face a 9h layover in SFO &amp; missed rehearsal dinner in PSP. Nothing u can do?,-0.4767,0.0,0.0,0.0,1.0,wife4yo daughter delayed sea today face layover sfo and missed rehearsal dinner psp nothing,,0
522,2017-11-03,18:28:06,FloydValue,@xoxoashleyadams @united Ayeeeeeee they did the same shit to me,-0.5574,0.0,0.0,0.0,1.0,ayeeeeeee shit,,1
525,2017-11-03,18:26:02,RadFinch,"@xoxoashleyadams @united United's in bad shape, this year.",-0.5423,0.0,0.0,0.0,1.0,uniteds bad shape year,,4
526,2017-11-03,18:25:15,allisondavis531,"Damn @united. All flights were late today. Denver, LAX..",-0.4019,0.0,0.0,0.0,1.0,damn flights late today denver lax,,0
530,2017-11-03,18:22:33,Dimitrisaass,@xoxoashleyadams @united oh nooooooooo️ Thats why I hate air companies,-0.5719,0.0,0.0,0.0,1.0,oh nooooooooo️ thats hate air companies,,1
536,2017-11-03,18:11:43,chicabravasurf,@united please respond to our message inquiry! Usually so fast at responding but not today when we most need it :(,-0.5977,0.0,0.0,0.0,1.0,please respond message inquiry usually fast responding today need,,2
544,2017-11-03,17:55:14,manny732,@united get your shit together,-0.5574,0.0,0.0,0.0,1.0,get shit together,,1
549,2017-11-03,17:51:38,b_matt16,"@united How do you lose my luggage on a direct flight? My girls luggage, which was checked in with mine made it through... #smh",-0.4019,0.0,0.0,0.0,1.0,lose luggage direct flight girls luggage checked mine made #smh,['#smh'],2
551,2017-11-03,17:48:41,TomFaulkXXX,"Seriously fuck @united  worst airline ever hands down, i hate you and each of your employee's",-0.9186,0.0,0.0,0.0,1.0,seriously fuck worst airline ever hands hate employees,,4
552,2017-11-03,17:47:06,JamesYoukhanis,@seattle Your airport sucks. @united Delayed for snow. What snow?,-0.5267,0.0,0.0,0.0,1.0,airport sucks delayed snow snow,,0
566,2017-11-03,17:21:29,JacobsonD1,@united Update: still haven’t taken off  y’all awful,-0.4588,0.0,0.0,0.0,1.0,update still have not taken you all awful,,1
574,2017-11-03,17:07:24,dianebutler,@united why do you move someone’s seat without telling them? I expected a child to sit there but no a single guy! So wrong!!,-0.8506,0.0,0.0,0.0,1.0,move someones seat without telling expected child sit single guy wrong,,2
577,2017-11-03,17:04:16,PeerlessGeorge,@united just had the most horrendous flight experience and I've still got one more with you guys. Who do I contact to go over my issue,-0.624,0.0,0.0,0.0,1.0,horrendous flight experience i have still got one guys contact go issue,,2
584,2017-11-03,16:54:44,timrands8,@united this is a mess. Your contractors have two driving trucks and both have broken down???,-0.7303,0.0,0.0,0.0,1.0,mess contractors two driving trucks broken,,0
587,2017-11-03,16:50:36,JCVodka,@united @MikeRobsLegos  There has to be an extra aircraft sitting around here.  Fire er up!,-0.4003,0.0,0.0,0.0,1.0,extra aircraft sitting around fire er,,0
595,2017-11-03,16:46:15,RKristovich,@united why board the f-ing plane if you can't take off? This really sucks. Hours sitting in a plane. #calgarytochicago #UA5268,-0.4201,0.0,0.0,0.0,1.0,board fucking plane can not take really sucks hours sitting plane #calgarytochicago #ua5268,"['#calgarytochicago', '#ua5268']",4
606,2017-11-03,16:35:20,AirinLaughfurte,"@united is the most exploitative, unethical company on the planet. #boycottunited",-0.5542,0.0,0.0,0.0,1.0,exploitative unethical company planet #boycottunited,['#boycottunited'],2
613,2017-11-03,16:20:30,ashcas87,@united Unwilling to help with fees now that we have to cancel flights due to this guy being diagnosed with cancer and weeks to live,-0.5719,0.0,0.0,0.0,1.0,unwilling help fees cancel flights due guy diagnosed cancer weeks live,,2
614,2017-11-03,16:18:47,rissyroo77,absolute worst airline and customer service ever @united,-0.6249,0.0,0.0,0.0,1.0,absolute worst airline customer service ever,,3
627,2017-11-03,16:01:27,MrSnarkyPants,@united So we were delayed an extra 20 min and she was so mad the service suffered. Hope she enjoyed being “right.” /end,-0.5073,0.0,0.0,0.0,1.0,delayed extra min mad service suffered hope enjoyed right end,,0
