,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
8900,2017-10-25,15:44:20,adukor,If it does then good bye @united still proud to fly the #FriendlySkies but loyalty is a 2 way street. Something @Delta clearly doesn't get,0.9062,0.0,1.0,0.0,1.0,good bye still proud fly #friendlyskies loyay way street something clearly does not get,['#friendlyskies'],1
9265,2017-11-04,03:33:09,BudgetEarth,@Delta You guys are great. We usually fly you out of CVG. Make our vacations truly amazing &amp; everyone so polite!,0.902,0.0,1.0,0.0,0.0,guys great usually fly cvg make vacations truly amazing and everyone polite,,2
9303,2017-11-04,02:53:05,mfdii,@Delta Why don’t you realize your customers need help and be prepared to help them?,0.743,0.0,1.0,0.0,0.0,do not realize customers need help prepared help,,0
9332,2017-11-04,02:23:03,jleybo,Us @Delta Need 2 change Award flight. System says cant do it now contact support. Confirm #HHTOBB Want to change return to same day DL 4516,0.7579,0.0,1.0,0.0,0.0,us need change award flight system says can not contact support confirm #hhtobb want change return day dl,['#hhtobb'],0
9341,2017-11-04,02:08:45,_slerner,@Delta Thanks for handling this situation! Appreciate you stepping up,0.7088,0.0,1.0,0.0,0.0,thanks handling situation appreciate stepping,,0
9357,2017-11-04,01:50:29,ESachtjen,@Delta has some awesome @Boeing  737-900s. Sweet rides.,0.7964,0.0,1.0,0.0,0.0,awesome sweet rides,,1
9359,2017-11-04,01:46:39,BuffaloSabres,"Good times at #SabresRoadCrew in Dallas, thanks to @delta &amp; @DACWBuffalo.  Check our Instagram Story &amp; Snapchat “BuffaloSabres” for more!",0.7263,0.0,1.0,0.0,0.0,good times #sabresroadcrew dallas thanks and check instagram story and snapchat buffalosabres,['#sabresroadcrew'],0
9370,2017-11-04,01:38:33,erekus729,"@GothamCityCrew @JetNation @MartyLyonsFDN @Delta @nyjets One of the greatest Jets ever ""Giving him the Business"" call by ref after he sacked J Kelly",0.765,0.0,1.0,0.0,0.0,one greatest jets ever giving business call ref sacked kelly,,2
9371,2017-11-04,01:38:12,r_luba,Thank you for excellent service and healthy snack options on your flights!  @Delta,0.8478,0.0,1.0,0.0,0.0,thank excellent service heahy snack options flights,,2
9372,2017-11-04,01:37:56,dboudreau,@vavroom @Delta That’s great news. Kudos to them for recognizing their fault in the matter.,0.7003,0.0,1.0,0.0,0.0,thats great news kudos recognizing fau matter,,2
9389,2017-11-04,01:26:07,Duckfisney,@Delta We all know that will do zero good! But thanks for letting me vent!,0.7494,0.0,1.0,0.0,0.0,know zero good thanks letting vent,,1
9398,2017-11-04,01:18:17,JackiZehner,@WindRiverMovie I finally watched this film on @Delta GREAT film @sundancefest premiere!,0.729,0.0,1.0,0.0,0.0,finally watched film great film premiere,,1
9407,2017-11-04,01:11:26,MEC1681,@Delta Yes I am aware! It's not a good policy! And like I said I may just need to fly with AA who seems to care more about their customers!,0.7827,0.0,1.0,0.0,0.0,yes aware good policy like said may need fly american airlines seems care customers,,1
9411,2017-11-04,01:07:04,barnerjones,"@DeltaPilotJobs, I think you have three potential @Delta Diamond super fans!   #A350 #DeltaRocks #DeltaCustomersCare",0.7644,0.0,1.0,0.0,0.0,think three potential diamond super fans #a350earockseacustomerscare,['#a350earockseacustomerscare'],2
9425,2017-11-04,00:56:33,nickhovercraft,@Delta We lucked out! Now let’s just hope Will&amp;Grace is on the menu. Thanks for providing the in-flight entertainment!,0.9018,0.0,1.0,0.0,0.0,lucked let us hope willandgrace menu thanks providing inflight entertainment,,4
9434,2017-11-04,00:51:18,AnitaHelmet,"Hey @Delta! You’re lucky to have Jean (agent 936932) on your staff. She’s patient, resourceful and efficient- she makes y’all look GOOD. ",0.8599,0.0,1.0,0.0,0.0,hey you are lucky jean agent staff she is patient resourceful efficient makes you all look good,,2
9446,2017-11-04,00:45:59,faithsw,@Delta please give kudos to flight crew 2104 to ATL. Awesome group.,0.8658,0.0,1.0,0.0,0.0,please give kudos flight crew atl awesome group,,2
9452,2017-11-04,00:37:12,AKVG9,Shout out to Mike in Cincinnati for outstanding customer service! Booked my flight &amp; got my wheelchair info handled. THANK YOU! ️️ @delta,0.8324,0.0,1.0,0.0,0.0,shout mike cincinnati outstanding customer service booked flight and got wheelchair info handled thank ️️,,2
9454,2017-11-04,00:37:09,ken_weis2020,@AlaskaAir @Delta @UnitedAirlines And @AmericanAir but as @AlaskaAir has continued to grow its ability to be dynamic and nimble and retain a consistently high standard hasn’t,0.7469,1.0,1.0,0.0,1.0,continued grow ability dynamic nimble retain consistently high standard has not,,2
9466,2017-11-04,00:26:16,MaeMargretDavis,"@Delta I’m still missing the beginning of a Bruce Hornsby concert, but “that’s just the way it is.” Thanks for the help today. ",0.7783,0.0,1.0,0.0,0.0,i am still missing beginning bruce hornsby concert thats way thanks help today,,0
9490,2017-11-04,00:08:55,elysianvalley,@LAFC @Delta @Aeromexico A great example of LAFC taking a leading role in empowering at-risk youth. Well done!,0.7574,0.0,1.0,0.0,0.0,great exandle lafc taking leading role empowering atrisk youth well done,,2
9498,2017-11-04,00:02:36,styleethic,"Hey @Delta a friend of mine just shared a link to a survey that supposedly gives you 2 free Delta tickets in ""celebration"" of your anniversary. Is this real?",0.836,0.0,1.0,0.0,0.0,hey friend mine shared link survey supposedly gives free dea tickets celebration anniversary real,,4
9503,2017-11-03,23:54:01,JordanLongacre,@BreakingChesky @SeaTacAirport @Delta Thanks! Meanwhile I will browse my pictures from my trip to Phoenix and remember what the sun looks like haha,0.8268,0.0,1.0,0.0,0.0,thanks meanwhile browse pictures trip phoenix remember sun looks like haha,,2
9507,2017-11-03,23:53:25,saltwaterkissez,@Delta Ms Judy at SLC Gate C1 is terrific! Thanks for getting me on an earlier flight home!!,0.783,0.0,1.0,0.0,0.0,ms judy slc gate c1 terrific thanks getting earlier flight home,,1
9509,2017-11-03,23:52:28,TorriGalaviz,Heading out to #Australia!  @Delta if you wanna upgrade me to that last #deltaone seat I’d love you more than Kanye loves Kanye...,0.8575,0.0,1.0,0.0,0.0,heading #australia wanna upgrade lasteaone seat i would love kanye loves kanye,['#australia'],3
9512,2017-11-03,23:51:53,mikesharrow,@Delta gate agent Kris @ Manchester my Flt 3672 was fantastic today! Best customer svc in a long time. Kudos!,0.9133,0.0,1.0,0.0,0.0,gate agent kris manchester f fantastic today best customer service long time kudos,,2
9526,2017-11-03,23:42:37,wjenkinsIII,"@Delta huge shout out- what a great touch by jeff.shakes my hand, thanks me for flying &amp; gives me a‘note’ keep it up! #newloyalty",0.9151,0.0,1.0,0.0,0.0,huge shout great touch jeffshakes hand thanks flying and gives anote keep #newloyay,['#newloyay'],1
9540,2017-11-03,23:29:50,Hertz,"@fergiemom86 @emilyvdixon @Delta @HiltonHotels Good to know. Thank you for sharing, Tracy.",0.802,0.0,1.0,0.0,0.0,good know thank sharing tracy,,1
9551,2017-11-03,23:23:03,bradyqg,Today I’m thankful for all the awesome people at @Delta who are helping me get home today. #ThankfulNovember,0.875,0.0,1.0,0.0,0.0,today i am thankful awesome people helping get home today #thankfulnovember,['#thankfulnovember'],1
9559,2017-11-03,23:15:41,laptoptravel,At the @Delta #Mothership Today for #SkyMiles Info Meetings. Lots of Interesting Information and Another Great Trip!,0.7959,0.0,1.0,0.0,0.0,#mothership today #skymiles info meetings lots interesting information another great trip,"['#mothership', '#skymiles']",2
9561,2017-11-03,23:14:38,PippyPipes,Pretty smooth trip to Phoenix. Thanks for your hospitality @Delta jets!!  @ChiefRubin,0.7707,0.0,1.0,0.0,0.0,pretty smooth trip phoenix thanks hospitality jets,,2
9578,2017-11-03,23:03:55,eric_wearne,"@Delta All anybody says is ""good luck"" which has been less than helpful.",0.8137,0.0,1.0,0.0,0.0,anybody says good luck less helpful,,2
9596,2017-11-03,22:52:30,mpkennedy3,@Delta It looks like @delta had some good customer service agents in there company also. We called back and Chris Latta solved the problem. Thanks!,0.7901,0.0,1.0,0.0,0.0,looks like good customer service agents company also called back chris latta solved problem thanks,,2
9602,2017-11-03,22:45:59,wannnaFANTA,@Delta I️ had the BEST customer experience from Felecia at T40 in JFK ,0.7125,0.0,1.0,0.0,0.0,i️ best customer experience felecia t40 jfk,,2
9604,2017-11-03,22:45:08,ChiefRubin,Just landed in the beautiful Southwest. Thanks @Delta Jets,0.7783,0.0,1.0,0.0,0.0,landed beautiful southwest thanks jets,,1
9626,2017-11-03,22:27:50,RussellWolff,Great service! Thanks @delta 4 complimentary @bombaysapphire #ginandtonic #bar in #flight free #wifi @tmobile #tmo…,0.9259,0.0,1.0,0.0,0.0,great service thanks complimentary #ginandtonic #bar #flight free #wifi #tmo,"['#ginandtonic', '#bar', '#flight', '#wifi', '#tmo']",4
9633,2017-11-03,22:25:35,GATAGSTeam,Our GAT Sarasota team providing outstanding support to our @Delta customer.,0.7717,0.0,1.0,0.0,0.0,gat sarasota team providing outstanding support customer,,2
9641,2017-11-03,22:19:30,ITSM_Jace,@Delta Your #CX agent is a great compliment to you! Gate agent just as great. #OnlyDelta for me from now on.,0.9117,0.0,1.0,0.0,0.0,#cx agent great compliment gate agent great #onlydea,"['#cx', '#onlydea']",2
9653,2017-11-03,22:11:06,gina_schneider,Super impressive that the @Delta flight crew jumped in to fetch checked bags when the baggage handlers didn’t show. ,0.802,0.0,1.0,0.0,0.0,super impressive flight crew jumped fetch checked bags baggage handlers did not show,,2
9655,2017-11-03,22:08:11,Nellie20K,"@President1Trump @FoxNews @Delta Thanks, good to know for my next flight.",0.7003,0.0,1.0,0.0,0.0,thanks good know next flight,,1
9671,2017-11-03,21:59:10,ITSM_Jace,Just had an amazing #CX experience with @Delta for nearly 3 hours here on Twitter through DM. Job well done.,0.7096,0.0,1.0,0.0,0.0,amazing #cx experience nearly hours twitter direct message job well done,['#cx'],2
9684,2017-11-03,21:50:36,RaeBeta,"I don't know when @Delta got super good with allergies and preboarding, but it happened and continues to gently blow my mind.",0.8126,0.0,1.0,0.0,0.0,do not know got super good allergies preboarding happened continues gently blow mind,,2
9687,2017-11-03,21:44:11,FlyingChris,@Delta They did an awesome job. Hugs for all!,0.8221,0.0,1.0,0.0,0.0,awesome job hugs,,2
9695,2017-11-03,21:34:29,keeganlanier,I have to shoutout @Delta support. You all crush it on Twitter!  Thanks for being unbelievably helpful!,0.8261,0.0,1.0,0.0,0.0,shoutout support crush twitter thanks unbelievably helpful,,2
9696,2017-11-03,21:33:57,tlang71USN,@Delta wow on flight 1132 TPA to DTW and we have awesome crew. Fly alot and good service but Cindy Robertson 278118Neecee person 493439 5.0,0.7096,0.0,1.0,0.0,0.0,wow flight tpa dtw awesome crew fly alot good service cindy robertson person,,2
9705,2017-11-03,21:28:10,MiniMushu1098,@Delta I don’t know why anyone wouldn’t fly delta. You guys are so responsive and the best 🤷‍️,0.8147,0.0,1.0,0.0,0.0,do not know anyone would not fly dea guys responsive best 🤷️,,1
9706,2017-11-03,21:27:21,MiniMushu1098,"@Delta Well it’s still lost, but thank you for helping me aid in the process. That is the day I got it 🤣.",0.714,0.0,1.0,0.0,0.0,well still lost thank helping aid process day got,,1
9717,2017-11-03,21:20:42,simplyben,Loved my 2 flights on @Delta's new A350. Great plane for long haul flights.,0.8402,0.0,1.0,0.0,0.0,loved flights new a350 great plane long haul flights,,1
9723,2017-11-03,21:17:17,williamrknapp,Shoutout to @Delta for claiming “weather related” delays in Seattle for what is essentially cold rain. Thanks for great customer service.,0.7906,0.0,1.0,0.0,0.0,shoutout claiming weather related delays seattle essentially cold rain thanks great customer service,,2
9753,2017-11-03,21:00:58,rcglanzer,"@Delta Awesome, and see if the normal fare can be somewhere in the $195 range. Much appreciated.",0.8126,0.0,1.0,0.0,0.0,awesome see normal fare somewhere range much appreciated,,1
9764,2017-11-03,20:54:45,hart_thom,"Hi @Delta I want to send thx and kudos to an awesome employee, can you help me w that?",0.9169,0.0,1.0,0.0,0.0,hi want send thx kudos awesome employee help,,0
9769,2017-11-03,20:49:05,kimfauria,@Natalizer @Delta Hmm hopefully he follows @delta  and saw this in time....I hope he's having fun in the #landofmissedopportunity,0.836,0.0,1.0,0.0,0.0,hopefully follows saw timei hope he is fun #landofmissedopportunity,['#landofmissedopportunity'],4
9774,2017-11-03,20:48:03,DJWood704,"Idk how I finessed these first class seats but I’m not complaining! Thank you @Delta! Signed,Skymiles Member and StockholderMuch love!",0.7717,0.0,1.0,0.0,0.0,idk finessed first class seats i am complaining thank signedskymiles member stockholdermuch love,,3
9788,2017-11-03,20:39:50,CoachReveno,These guys look very comfortable and ready to go in their @Delta pajamas.  #SwarmChina,0.7474,0.0,1.0,0.0,0.0,guys look comfortable ready go pajamas #swarmchina,['#swarmchina'],1
9809,2017-11-03,20:26:20,MsRebeccaChance,@Delta That's very honest of you! So I will leave it as a general comment that your food is so good the crew shouldn't rush people eating it.,0.7991,0.0,1.0,0.0,0.0,thats honest leave general comment food good crew shouldnt rush people eating,,2
9811,2017-11-03,20:24:17,HelacoHLC,@Delta It's time x giving &amp; sharing &amp; what better than supporting a   we R 501(C)(3)Tax-deductible Donation.,0.875,0.0,1.0,0.0,0.0,time giving and sharing and better supporting donation,,1
9815,2017-11-03,20:22:58,angelnek1,2nd visit to @Toppot doughnuts! Trying diff locations each day! Thank you @delta skymiles for the free doughnuts and coffee!yummmm,0.7701,0.0,1.0,0.0,0.0,visit doughnuts trying diff locations day thank skymiles free doughnuts coffeeyummmm,,4
9823,2017-11-03,20:15:19,rcglanzer,.@delta if you could add a direct AUS &gt; HON daily flight that would be much appreciated. thx.,0.7003,0.0,1.0,0.0,0.0,dea could add direct aus hon daily flight would much appreciated thx,,0
9836,2017-11-03,20:01:39,starrberry381,@Delta Thank you for your help!  The agents showed up and we're quite pleasant. Guess I am just used to bigger airports that are always staffed,0.8436,0.0,1.0,0.0,0.0,thank help agents showed quite pleasant guess used bigger airports always staffed,,0
9838,2017-11-03,20:01:00,jctp_93s,"First time flying @Delta in years, and it’s going great. My flight has been delayed an hour, and you know that’s a great feeling.",0.8316,0.0,1.0,0.0,0.0,first time flying years going great flight delayed hour know thats great feeling,,1
9843,2017-11-03,19:54:49,RyanCaulfield83,@amartinez_27 @Delta Bailey and I would make for great roommates on the Road!! Go Kings Go!#DeltaKingsClassContest,0.7163,0.0,1.0,0.0,0.0,bailey would make great roommates road go kings go#deakingsclasscontest,['#deakingsclasscontest'],3
9853,2017-11-03,19:49:30,76chipster,@Delta DL1802 Atl - SLC Cabin Crew service was awesome those folks worked their tails off. Add one more seat = 1 more cabin staff :),0.8107,0.0,1.0,0.0,0.0,dl1802 atl slc cabin crew service awesome folks worked tails add one seat cabin staff,,2
9858,2017-11-03,19:45:08,msteib,"@Delta I left my laptop on DL1859. At JFK, Davian L tracked it down and Walkeria C found it. Great service. Thank you!",0.784,0.0,1.0,0.0,0.0,left laptop dl1859 jfk davian tracked walkeria found great service thank,,2
9869,2017-11-03,19:35:18,MsRebeccaChance,@Delta I will DM details if you *promise* me that the crew won't catch flack! They were truly lovely and could not have been nicer/more helpful!,0.8774,0.0,1.0,0.0,0.0,direct message details promise crew will not catch flack truly lovely could nicermore helpful,,2
9872,2017-11-03,19:32:16,jrlarson1000,"That only costs 2 1/2 hours of my and my fellow passengers life....but an easy dispatch.  Thanks, @Delta",0.7003,0.0,1.0,0.0,0.0,costs hours fellow passengers lifebut easy dispatch thanks,,2
9880,2017-11-03,19:29:15,cmplummer,"@Delta gate 4 John Wayne Airport. The two ladies helping at the check in desk have been so friendly, helpful, and amazing. Kudos to them.",0.9477,0.0,1.0,0.0,0.0,gate john wayne airport two ladies helping check desk friendly helpful amazing kudos,,2
9882,2017-11-03,19:28:21,Robert39384526,@patientory @InsideSKY @Delta They are now making a good point trying to show they are not a scam. Becouse they are not. We impatiently wait for the new roadmap ️,0.7996,0.0,1.0,0.0,0.0,making good point trying show scam becouse impatiently wait new roadmap,,1
9896,2017-11-03,19:17:53,ericsomers,"Hey @delta please pass along kudos to the ladies working flight 899 MSP-PHX at gate G19. They were awesome, even in an oversell !!",0.855,0.0,1.0,0.0,0.0,hey please pass along kudos ladies working flight mspphx gate g19 awesome even oversell,,2
9907,2017-11-03,19:10:00,Duckfisney,"@Delta once again I find myself with a ridiculous tight ATL cnx! 993-&gt;1062, amazing you sell 36 min cnxn! Wish I had my running shoes!",0.7074,0.0,1.0,0.0,0.0,find ridiculous tight atl cnx amazing sell min cnxn wish running shoes,,2
9913,2017-11-03,19:07:03,Howard_Byck,@Delta SVP Gareth Joyce and @AmericanCancer celebrating &amp; recognizing amazing Delta employees for their support of @RelayForLife. #heroes,0.8807,0.0,1.0,0.0,0.0,svp gareth joyce celebrating and recognizing amazing dea employees support #heroes,['#heroes'],2
9944,2017-11-03,18:32:51,astrostarbright,Ready to fly high with my favorite airline @Delta to the ATL for @TOFI_Intl #PitcHER17! It’s going to be EPic!,0.7256,0.0,1.0,0.0,0.0,ready fly high favorite airline atl #pitcher17 going epic,['#pitcher17'],1
9966,2017-11-03,18:16:36,LRCard7,@RandRIntimates @Nationals @Delta My pleasure and thank you! ,0.7574,0.0,1.0,0.0,0.0,pleasure thank,,2
9977,2017-11-03,18:00:03,Bitcoin_Bryson,"@ChrissaTanelia @Delta Congrats, Chrissa! Keep making Atlanta crypto great, excited to see what the roadmap looks like",0.9134,0.0,1.0,0.0,0.0,congrats chrissa keep making atlanta crypto great excited see roadmap looks like,,1
9984,2017-11-03,17:53:19,hannahberg713,Thanks @Delta and @TMobile for the free WiFi and ability to use Snapchat in flight. #TMobileWingman,0.8176,0.0,1.0,0.0,0.0,thanks free wifi ability use snapchat flight #tmobilewingman,['#tmobilewingman'],4
9988,2017-11-03,17:51:33,citizen027,"@BaileyLAKings @Delta ooooooooo, I want to go to DC, loving the Kings is a given. make me love you too, @Delta #DeltaKingsClassContest",0.8555,0.0,1.0,0.0,0.0,ooooooooo want go dc loving kings given make loveeakingsclasscontest,,3
10007,2017-11-03,17:37:57,GeorgiaTechFB,We’ve arrived in Charlottesville. Thanks to @Delta for the safe trip. ,0.7003,0.0,1.0,0.0,0.0,weve arrived charlottesville thanks safe trip,,2
10010,2017-11-03,17:37:20,sydelle_noel,#FB to my 1st #Emmy party where I won the big prize of the night from @Delta. Still can't believe it! I'm going on a trip! ,0.8829,0.0,1.0,0.0,0.0,#fb #emmy party big prize night still can not believe i am going trip,"['#fb', '#emmy']",2
10015,2017-11-03,17:33:53,Cashmir14,"@Delta @DeltaAssist , I need help changing a reservation that was supposed to Boston today at 1:45pm . 45mnts wait when I called . HELP!",0.7525,0.0,1.0,0.0,0.0,need help changing reservation supposed boston today wait called help,,0
10019,2017-11-03,17:30:37,Avlchannel,Thanks for the compliment @Delta,0.7184,0.0,1.0,0.0,0.0,thanks compliment,,2
10039,2017-11-03,17:20:18,arii_barrryy,@Delta Awesome !! Thank you !!,0.8302,0.0,1.0,0.0,0.0,awesome thank,,2
10051,2017-11-03,17:15:18,WINiTorg,Congrats to WINiT Donors @MarriottIntl  and @Delta  for making the 100 Best Workplaces for Women in 2017,0.8225,0.0,1.0,0.0,0.0,congrats winit donors making best workplaces women,,2
10053,2017-11-03,17:14:38,davidmoncur,I did not catch her name but the gate agent at @Delta MIA was unbelievably helpful!! Literally made the trip. Thank you. Love #Delta,0.8973,0.0,1.0,0.0,0.0,catch name gate agent mia unbelievably helpful literally made trip thank loveea,,2
10060,2017-11-03,17:08:26,apihandyman,@Delta Everything is perfect (besides the delay from PDX to SEA ) as always when I fly with your company. Very special thanks to staff at PDX.,0.8211,0.0,1.0,0.0,0.0,everything perfect besides delay pdx sea always fly company special thanks staff pdx,,2
10067,2017-11-03,17:02:40,apihandyman,Currently flying /w @Delta : could switched my flight for an earlier one easily thx to friendly &amp; efficient staff #apistrat,0.872,0.0,1.0,0.0,0.0,currently flying could switched flight earlier one easily thx friendly and efficient staff #apistrat,['#apistrat'],2
10068,2017-11-03,17:02:00,rskrumholz,Feeling v #blessed rn to be flying in the comfort plus section of this @Delta NYC flight to SFO. Guess good things come to those who wait ,0.7096,0.0,1.0,0.0,0.0,feeling #blessed rn flying comfort plus section nyc flight sfo guess good things come wait,['#blessed'],1
10086,2017-11-03,16:48:27,pattyoh11,@MomTalkRadio @Delta I love your sense of adventure! You inspire me.,0.8883,0.0,1.0,0.0,0.0,love sense adventure inspire,,3
10110,2017-11-03,16:34:15,HFHNC,@Habitat_org @Delta Wow that is wonderful! #BuildingTogether,0.8313,0.0,1.0,0.0,0.0,wow wonderful #buildinogether,['#buildinogether'],2
